Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Fruit,Category,Item,Metric,Domain,Domain Category,Value,CV (%),use,name,code,Value_numeric,CV_numeric
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,3,15.7,NA,NA,NA,3,15.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,1,(L),NA,NA,NA,1,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,6,52.7,NA,NA,NA,6,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA NON-BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,5,47.6,NA,NA,NA,5,47.6
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,2,55.7,NA,NA,NA,2,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,MONTGOMERY,101,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,2,52.7,NA,NA,NA,2,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,2,55.7,NA,NA,NA,2,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,BLACK BELT,40,SUMTER,119,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,2,52.7,NA,NA,NA,2,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,1,13.2,NA,NA,NA,1,13.2
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,1,15.7,NA,NA,NA,1,15.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,6,55.7,NA,NA,NA,6,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,CONECUH,35,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,6,52.7,NA,NA,NA,6,52.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - ACRES GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,(D),(D),NA,NA,NA,NA,NA
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA BEARING,NA,NA,NA,TOTAL,NOT SPECIFIED,3,55.7,NA,NA,NA,3,55.7
CENSUS,2022,YEAR,NA,COUNTY,ALABAMA,1,COASTAL PLAINS & GULF COAST,50,MOBILE,97,NA,NA,0,NA,STRAWBERRIES,STRAWBERRIES - OPERATIONS WITH AREA GROWN,NA,NA,NA,TOTAL,NOT SPECIFIED,3,52.7,NA,NA,NA,3,52.7
